"","row","column","cor","p"
"1","AT","AP",-0.518519566923547,0
"2","AT","AH",-0.498404579511179,0
"3","AP","AH",0.0125319442388874,0.28072151787823
"4","AT","AFDP",-0.204344670894681,0
"5","AP","AFDP",0.201647887920842,0
"6","AH","AFDP",-0.131206981192439,0
"7","AT","GTEP",0.0608276898852535,1.60183046382656e-07
"8","AP","GTEP",0.06395527888925,3.57934655248471e-08
"9","AH","GTEP",-0.268247330928066,0
"10","AFDP","GTEP",0.861278965204163,0
"11","AT","TIT",0.109980865015918,0
"12","AP","TIT",0.062771116216543,6.36579366997125e-08
"13","AH","TIT",-0.296863579811754,0
"14","AFDP","TIT",0.837166348927358,0
"15","GTEP","TIT",0.969755329695359,0
"16","AT","TAT",0.167168711883208,0
"17","AP","TAT",-0.213073892939041,0
"18","AH","TAT",0.104269562963472,0
"19","AFDP","TAT",-0.587725125510753,0
"20","GTEP","TAT",-0.597467782023037,0
"21","TIT","TAT",-0.55517035771089,0
"22","AT","TEY",-0.159832245344176,0
"23","AP","TEY",0.17591820203213,0
"24","AH","TEY",-0.161837191368467,0
"25","AFDP","TEY",0.870155248404784,0
"26","GTEP","TEY",0.93189861642005,0
"27","TIT","TEY",0.916328752175373,0
"28","TAT","TEY",-0.616381925711511,0
"29","AT","CDP",0.0111073174048736,0.339039060493524
"30","AP","CDP",0.129353184703585,0
"31","AH","CDP",-0.264325766724534,0
"32","AFDP","CDP",0.864639028204376,0
"33","GTEP","CDP",0.986123590576,0
"34","TIT","CDP",0.967427135579971,0
"35","TAT","CDP",-0.605418205612528,0
"36","TEY","CDP",0.947680525096574,0
"37","AT","CO",-0.171968395531913,0
"38","AP","CO",0.12063138848354,0
"39","AH","CO",0.210381825155882,0
"40","AFDP","CO",-0.484123362102989,0
"41","GTEP","CO",-0.66483140591384,0
"42","TIT","CO",-0.667065738776466,0
"43","TAT","CO",0.195938411642915,0
"44","TEY","CO",-0.593501497285982,0
"45","CDP","CO",-0.648302449201418,0
"46","AT","NOX",-0.697616682168014,0
"47","AP","NOX",0.388698721771621,0
"48","AH","NOX",0.19709029412075,0
"49","AFDP","NOX",0.049897391719043,1.72752936582476e-05
"50","GTEP","NOX",-0.207197231068549,0
"51","TIT","NOX",-0.211796999907594,0
"52","TAT","NOX",0.0653871795572811,1.75998262630372e-08
"53","TEY","NOX",-0.0485153810516661,2.93686420562711e-05
"54","CDP","NOX",-0.165779651955852,0
"55","CO","NOX",0.241800542296995,0
