"","row","column","cor","p"
"1","AT","AP",-0.243646836400837,0
"2","AT","AH",-0.546510102103496,0
"3","AP","AH",-0.0352305569149088,0.00288403947769522
"4","AT","AFDP",0.552045710227928,0
"5","AP","AFDP",0.0118380154463247,0.316829174044335
"6","AH","AFDP",-0.440882063018379,0
"7","AT","GTEP",0.112667120789954,0
"8","AP","GTEP",0.150568673322001,0
"9","AH","GTEP",-0.288404915194029,0
"10","AFDP","GTEP",0.757607242468536,0
"11","AT","TIT",0.157155827720619,0
"12","AP","TIT",0.152337167716643,0
"13","AH","TIT",-0.316087948320657,0
"14","AFDP","TIT",0.767894953614986,0
"15","GTEP","TIT",0.98205479733886,0
"16","AT","TAT",0.340826714739821,0
"17","AP","TAT",-0.184469297829618,0
"18","AH","TAT",-0.0454972140906615,0.000118602410765334
"19","AFDP","TAT",-0.173062897244513,0
"20","GTEP","TAT",-0.422547213425897,0
"21","TIT","TAT",-0.389609879956479,0
"22","AT","TEY",-0.145632824352674,0
"23","AP","TEY",0.204654301544507,0
"24","AH","TEY",-0.130796771165371,0
"25","AFDP","TEY",0.586294794881241,0
"26","GTEP","TEY",0.919606768775708,0
"27","TIT","TEY",0.913845096149689,0
"28","TAT","TEY",-0.456317275963133,0
"29","AT","CDP",0.0838997562033212,1.18882681476862e-12
"30","AP","CDP",0.187041966161065,0
"31","AH","CDP",-0.282804353599186,0
"32","AFDP","CDP",0.748305254821629,0
"33","GTEP","CDP",0.989932648956882,0
"34","TIT","CDP",0.979252671977987,0
"35","TAT","CDP",-0.431229875077487,0
"36","TEY","CDP",0.924643612643588,0
"37","AT","CO",-0.0788252263865803,2.46505038603573e-11
"38","AP","CO",-0.165779788490193,0
"39","AH","CO",0.232465763855935,0
"40","AFDP","CO",-0.54628027803257,0
"41","GTEP","CO",-0.773753453578365,0
"42","TIT","CO",-0.776108840356894,0
"43","TAT","CO",0.203101553822087,0
"44","TEY","CO",-0.741694083408845,0
"45","CDP","CO",-0.768560370938639,0
"46","AT","NOX",-0.61397138915212,0
"47","AP","NOX",0.108281238647912,0
"48","AH","NOX",0.153437898895075,0
"49","AFDP","NOX",-0.373927011465046,0
"50","GTEP","NOX",0.00744023750280211,0.529273197096838
"51","TIT","NOX",-0.00280282776414867,0.812662398146743
"52","TAT","NOX",-0.288895423436782,0
"53","TEY","NOX",0.17129375883244,0
"54","CDP","NOX",0.0309519951788156,0.00885079115017628
"55","CO","NOX",0.118916555313548,0
