"","row","column","cor","p"
"1","AT","AP",-0.469024116155034,0
"2","AT","AH",-0.389393783826829,0
"3","AP","AH",-0.0569699470241206,1.41403844455823e-06
"4","AT","AFDP",0.630113117170855,0
"5","AP","AFDP",-0.25501057105566,0
"6","AH","AFDP",-0.193218533092069,0
"7","AT","GTEP",0.249702918945936,0
"8","AP","GTEP",-0.179257193122604,0
"9","AH","GTEP",-0.29216964516919,0
"10","AFDP","GTEP",0.707076436559448,0
"11","AT","TIT",0.259612520227423,0
"12","AP","TIT",-0.158184756570291,0
"13","AH","TIT",-0.285563900285031,0
"14","AFDP","TIT",0.725517999672552,0
"15","GTEP","TIT",0.960092484922513,0
"16","AT","TAT",0.022183216650809,0.0605573853708279
"17","AP","TAT",-0.0844468207263641,8.29558643999917e-13
"18","AH","TAT",0.132809401143252,0
"19","AFDP","TAT",-0.391079141163845,0
"20","GTEP","TAT",-0.499512239215938,0
"21","TIT","TAT",-0.475918839942351,0
"22","AT","TEY",0.00899594817326316,0.446666415047149
"23","AP","TEY",-0.0720585414683051,1.03848174504151e-09
"24","AH","TEY",-0.142999452799784,0
"25","AFDP","TEY",0.585488954089259,0
"26","GTEP","TEY",0.931050640116621,0
"27","TIT","TEY",0.929687144047835,0
"28","TAT","TEY",-0.507096222847366,0
"29","AT","CDP",0.190200195927504,0
"30","AP","CDP",-0.111596022533463,0
"31","AH","CDP",-0.263590055794807,0
"32","AFDP","CDP",0.692332811300088,0
"33","GTEP","CDP",0.972813940565082,0
"34","TIT","CDP",0.964315024989179,0
"35","TAT","CDP",-0.505376790010717,0
"36","TEY","CDP",0.951780311817786,0
"37","AT","CO",0.0310273843778034,0.00865868136003511
"38","AP","CO",0.0726126012809316,7.72714781049899e-10
"39","AH","CO",0.0730561577935988,6.0892180187011e-10
"40","AFDP","CO",-0.324790851231168,0
"41","GTEP","CO",-0.629132445397837,0
"42","TIT","CO",-0.628827548135482,0
"43","TAT","CO",0.204038695989848,0
"44","TEY","CO",-0.684991238775393,0
"45","CDP","CO",-0.635066846498789,0
"46","AT","NOX",-0.741293941285133,0
"47","AP","NOX",0.378036669210136,0
"48","AH","NOX",0.0493465230254731,2.95669637830898e-05
"49","AFDP","NOX",-0.451444696706023,0
"50","GTEP","NOX",-0.108473820712378,0
"51","TIT","NOX",-0.11337778786389,0
"52","TAT","NOX",-0.112654661968518,0
"53","TEY","NOX",0.0568127268700177,1.51169066020529e-06
"54","CDP","NOX",-0.0623440573867065,1.30010729515462e-07
"55","CO","NOX",0.0157006673564206,0.184110632581107
